,submission_time,num_gpus,duration
1492,218,1,3
1493,219,1,23
1494,219,1,168
1495,219,1,396
1496,219,1,770
1497,219,1,352
1498,219,1,350
1499,219,1,1800
1500,220,1,1800
1501,220,1,989
1502,220,1,1099
1503,220,1,1800
1504,220,1,1800
1505,221,1,1800
1506,221,1,33
1507,221,1,1800
1508,221,1,1800
1509,221,1,252
1510,221,1,1800
1511,221,1,5
1512,221,1,1800
1513,222,1,1800
1514,222,1,448
1515,223,1,1800
1516,223,1,150
1517,224,1,1800
1518,224,1,43
1519,224,1,588
1520,225,1,1800
1521,225,1,1800
1522,225,1,1800
1523,225,1,1800
1524,225,1,1800
1525,225,1,1194
1526,225,1,760
1527,225,1,1800
1528,226,1,1800
1529,227,1,186
1530,227,1,1800
1531,227,1,657
1532,228,1,1800
1533,228,1,389
1534,228,1,1800
1535,228,1,1800
1536,228,1,331
1537,228,1,1800
1538,228,1,34
1539,228,1,52
1540,228,1,102
1541,229,1,1800
1542,229,1,1800
1543,229,1,410
1544,230,1,1800
1545,230,1,1800
1546,230,1,23
1547,230,1,1382
1548,230,1,1800
1549,230,1,53
1550,231,1,1800
1551,231,1,78
1552,231,1,1800
1553,231,1,33
1554,231,1,1800
1555,231,1,1800
1556,231,1,580
1557,231,1,1800
1558,231,1,223
1559,232,1,1800
1560,232,1,1800
1561,232,1,43
1562,232,1,1800
1563,232,1,1800
1564,233,1,1800
1565,233,1,1800
